"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 11, 2019","316.35","314.50","317.85","313.20","13.23M","0.11%"
"Nov 08, 2019","316.00","316.20","321.00","314.50","25.42M","-0.68%"
"Nov 07, 2019","318.15","318.25","323.30","316.80","33.93M","0.19%"
"Nov 06, 2019","317.55","318.95","318.95","314.00","32.16M","-0.52%"
"Nov 05, 2019","319.20","313.90","322.00","312.80","50.08M","1.56%"
"Nov 04, 2019","314.30","316.00","319.00","312.35","31.54M","0.24%"
"Nov 01, 2019","313.55","312.40","315.00","308.60","44.89M","0.37%"
"Oct 31, 2019","312.40","293.35","317.80","292.75","128.45M","7.76%"
"Oct 30, 2019","289.90","283.00","291.00","279.25","51.47M","3.30%"
"Oct 29, 2019","280.65","283.15","285.00","278.55","51.03M","-0.41%"
"Oct 27, 2019","281.80","281.80","281.80","281.80","-","0.09%"
"Oct 25, 2019","281.55","265.80","284.15","263.55","105.52M","7.26%"
"Oct 24, 2019","262.50","276.00","277.65","248.65","63.94M","-4.70%"
"Oct 23, 2019","275.45","270.75","277.80","268.65","31.79M","1.83%"
"Oct 22, 2019","270.50","270.40","275.00","268.50","27.57M","0.32%"
"Oct 18, 2019","269.65","264.40","271.35","263.20","33.20M","1.58%"
"Oct 17, 2019","265.45","256.40","266.00","255.60","37.06M","3.67%"
"Oct 16, 2019","256.05","259.30","261.95","255.00","30.89M","-0.93%"
"Oct 15, 2019","258.45","256.45","259.90","254.80","23.45M","1.17%"
"Oct 14, 2019","255.45","256.95","259.40","254.00","28.27M","0.35%"
"Oct 11, 2019","254.55","256.20","261.40","251.50","43.27M","0.16%"
